u,g,r,i,z,redshift
19.5365,18.21826,17.645220000000002,17.338070000000002,17.11447,0.08930767149999996
19.11804,18.04995,17.43017,17.061770000000003,16.83606,0.09867481309999994
20.24288,18.16171,17.02618,16.56425,16.20864,0.1509287659999999
17.94776,16.44783,15.75335,15.36832,15.08884,0.048590477849999994
18.22668,16.95597,16.62059,16.3721,16.179679999999998,0.03685943794999999
18.58451,17.42737,16.89741,16.581979999999998,16.37131,0.05452414399999997
19.54329,17.52127,16.47205,16.03888,15.669620000000002,0.10869636650000009
18.28974,16.76994,16.10378,15.76202,15.55498,0.06387721299999992
18.66453,17.42393,16.94676,16.606189999999998,16.45092,0.054833718999999996
19.95781,18.25558,17.48539,17.11926,16.85318,0.09249302
20.57999,18.47598,17.36956,16.91271,16.54014,0.14554166899999973
19.90408,18.42724,17.67933,17.316879999999998,17.056820000000002,0.10247083700000001
20.19501,18.2661,17.3522,16.94415,16.60258,0.09678195449999999
16.74051,14.95811,14.158829999999998,13.76954,13.54142,0.03201568899999996
19.55814,17.58734,16.66687,16.2273,15.90935,0.09882035750000004
20.05618,18.25275,17.36965,16.90154,16.54358,0.10032972050000001
19.60442,18.21461,17.44011,17.022660000000002,16.77433,0.1116065874999999
19.23708,18.0091,17.20243,16.82026,16.55038,0.13293500149999976
18.92143,17.75646,17.25927,16.96886,16.74695,0.06840562149999999
20.61788,18.56745,17.462239999999998,17.0161,16.5811,0.14114546350000015
19.24633,17.26227,16.36272,15.95336,15.61193,0.0765087710000001
19.95059,18.17248,17.230629999999998,16.809060000000002,16.5091,0.1141212594999999
19.57495,18.24378,17.53686,17.076529999999998,16.80325,0.12487355699999986
20.55576,18.53313,17.37629,16.92616,16.53755,0.14756943499999975
19.61989,17.74941,16.86188,16.46818,16.12878,0.09506888699999987
19.33312,18.13547,17.55842,17.21634,17.02604,0.08263711649999987
20.3843,18.54354,17.405520000000003,16.939429999999998,16.60484,0.15614485199999986
19.58088,18.07849,17.28295,16.85128,16.56679,0.10783238799999997
20.95221,18.64669,17.48413,17.01347,16.66104,0.16494304999999998
19.01155,17.08524,16.27855,15.91067,15.589720000000002,0.06503250749999999
20.13005,18.36588,17.335079999999998,16.825960000000002,16.353279999999998,0.13758930550000015
20.33832,18.65023,17.77024,17.36775,17.085910000000002,0.1066759869999999
20.82754,18.78767,17.57272,17.09451,16.72634,0.17795335999999984
19.37241,17.621760000000002,16.76266,16.36346,16.06921,0.08240870760000005
20.67228,18.81269,17.567729999999997,17.073629999999998,16.71554,0.19047657999999978
18.90059,18.08895,17.74606,17.59742,17.491870000000002,0.058653438999999995
18.56591,17.34357,16.8953,16.59194,16.44441,0.048668708499999935
18.89064,17.59512,16.88976,16.52228,16.24305,0.11680840949999997
19.74187,17.963729999999998,17.07864,16.66175,16.33943,0.09328031600000004
19.58678,18.1562,17.52467,17.17975,16.94582,0.08590295849999997
19.45568,17.84665,17.08792,16.698710000000002,16.43621,0.07610740599999997
20.94204,19.18756,17.70942,17.15439,16.68538,0.2229120649999997
18.95881,17.08734,16.20737,15.76325,15.443220000000002,0.07232894799999992
